WKT,ID_ACIDENT,CADLOGA,CADLOGB,ALT_NUM,REFERENCIA,DATA,HORA,COD_ACID,FONTE,VIATURA,DP,TALAO,SENTIDO,PISTA,VEICULOS,VITIMAS,DEC,DISTRITO,FOLHA,PRINC_A,PRINC_B,TIPO_PLAC1,TIPO_PLAC2,TIPO_PLAC3,TIPO_ACIDE,Mapinfo_1,Mapinfo_2
"POINT (-46.6177037585996 -23.5199284838486)",D011500029,04561,,,NC,2015/01/04 00:00:00,1540,2,D,,02,76,,,11000000000000000,0200,TT,57,0104,29772,,AU,MO,,CO,,
"POINT (-46.637944263363 -23.5351007777417)",D011500030,13733,16663,,,2015/01/04 00:00:00,1645,2,D,,02,77,,,00001001000000000,0100,CN3,70,0104,13733,16663,OU,BI,,CO,16663&&13733,
"POINT (-46.6026952732473 -23.5242936323075)",D011500031,04561,,710,,2015/01/13 00:00:00,0830,2,D,,02,149,,,20000000000100000,0100,TT,08,0104,29772,,CM,AU,AU,CT,710 04561,
"POINT (-46.6513302335265 -23.5179880458392)",D011500032,04561,33202,,,2015/01/08 00:00:00,1710,2,D,,02,153,,,01000000000100000,0100,TT,09,0104,04561,33202,CM,MO,,CO,33202&&04561,
"POINT (-46.597749121088 -23.5284341025719)",D011500033,04561,,01,,2015/01/09 00:00:00,0811,2,D,,02,168,,,11000000000000000,0100,TT,08,0104,29772,,AU,MO,,CO,1 04561,
"POINT (-46.6300330841034 -23.5215447976987)",D011500035,03222,,01,,2015/01/20 00:00:00,2235,2,D,,02,456,,,01000000000000000,0100,CN2,09,0105,03222,,MO,,,QM,1 03222,
"POINT (-46.5978223681441 -23.5283764587574)",D011500036,04561,,15,,2015/01/26 00:00:00,1140,4,D,,02,461,,,10000000000000000,0200,TT,08,0105,29772,,AU,,,AT,15 04561,
"POINT (-46.630875728958 -23.5253385584278)",D011500038,17799,,355,,2015/01/25 00:00:00,0310,2,D,,02,513,,,20000000000100000,0200,CN1,09,0105,17799,,AU,AU,CM,CT,355 17799,
"POINT (-46.6321466804632 -23.5319162953136)",D011500039,18993,,450,,2015/01/27 00:00:00,1330,2,D,,02,566,B,,01000000000000000,0200,CN2,09,0105,18993,,MO,,,QM,450 18993,
"POINT (-46.644908572101 -23.5245207374039)",D011500040,01421,02864,,,2015/01/31 00:00:00,0040,2,D,,02,637,,,10001000000000000,0100,CN1,09,0105,01421,02864,AU,BI,,CL,02864&&01421,
"POINT (-46.597749121088 -23.5284341025719)",D011500041,04561,,01,,2015/01/31 00:00:00,1410,2,D,,02,652,,,01000000000100000,0100,TT,08,0106,29772,,CM,MO,,CO,1 04561,
"POINT (-46.6375236273937 -23.5430753540299)",D011500042,17633,15323,,,2015/01/03 00:00:00,0630,2,D,,03,45,,,10010000000000000,0100,CN3,67,0107,15323,17633,AU,CA,,CH,15323&&17633,
"POINT (-46.6385436804913 -23.5471789956788)",D011500043,07281,,9999,,2015/01/09 00:00:00,0950,4,D,,03,138,,,10000000000000000,0100,CN3,67,0107,07281,,AU,,,AT,9999 07281,
"POINT (-46.6416011265057 -23.5357730109498)",D011500044,04659,16321,,,2015/01/16 00:00:00,0930,2,D,,03,259,,,11000000000000000,0100,CN3,70,0107,04659,16321,MO,AU,,CL,16321&&04659,
"POINT (-46.6383217901691 -23.5423234844971)",D011500045,17115,,15,,2015/01/20 00:00:00,1756,2,D,,03,326,,,11000000000000000,0100,CN3,67,0107,17115,,MO,AU,,CO,15 17115,
"POINT (-46.6377218066197 -23.5404288335778)",D011500046,09276,06285,,,2015/01/17 00:00:00,1245,4,D,,03,342,,,00000001000000000,0100,CN3,67,0107,06285,09276,OU,,,AT,06285&&09276,
"POINT (-46.6431317333654 -23.5463636477662)",D011500047,12132,,140,,2015/01/22 00:00:00,1700,4,D,,03,361,,,01000000000000000,0100,CN3,67,0107,12132,,MO,,,AT,140 12132,
"POINT (-46.6425860311828 -23.5500899782426)",D011500048,14804,,269,,2015/01/28 00:00:00,0950,4,D,,03,372,,,10000000000000000,0100,CN3,67,0107,14804,,AU,,,AT,269 14804,
"POINT (-46.6378088053955 -23.5369590158604)",D011500049,19177,,117,,2015/01/23 00:00:00,1408,2,D,,03,375,,,01000000000100000,0100,CN3,67,0107,19177,,MO,CM,,CT,117 19177,
"POINT (-46.6336229530321 -23.5359313979469)",D011500050,16593,,1000,,2015/01/15 00:00:00,1200,2,D,,03,381,,,00000001000000000,0100,CN3,67,0107,16593,,OU,,,QD,1000 16593,
"POINT (-46.6399060039855 -23.5397189782366)",D011500051,17115,02595,,,2015/01/25 00:00:00,1030,2,D,,03,521,,,20000000000000000,0100,CN3,67,0107,02595,17115,AU,AU,,CT,02595&&17115,
"POINT (-46.6415217045737 -23.5745680994334)",D011500052,19764,,3000,,2015/01/19 00:00:00,1700,2,D,,03,557,,,11000000000000000,0100,SO1,92,0108,19764,,MO,AU,,CO,3000 19764,
"POINT (-46.6471416256469 -23.5791789756193)",D011500053,19764,,9609,,2015/01/21 00:00:00,1700,2,D,,03,681,,,11000000000000000,0100,SU2,92,0108,19764,,MO,AU,,CO,9609 19764,
"POINT (-46.759954316959 -23.5115321489011)",D011500054,16966,,400,,2015/01/20 00:00:00,0200,2,D,,03,741,,,01000000000000000,0100,NO1,39,0108,16966,,MO,,,QM,400 16966,
"POINT (-46.6495535167704 -23.5510810743994)",D011500055,02497,15468,,,2015/01/02 00:00:00,1730,2,D,,04,56,,,10100000000000000,0100,OE1,26,0109,02497,15468,ON,AU,,CO,15468&&02497,
"POINT (-46.6457429282521 -23.5471858776401)",D011500056,05245,,440,,2015/01/09 00:00:00,2100,2,D,,04,96,,,11000000000000000,0100,CN3,67,0109,05245,,AU,MO,,SI,440 05245,
"POINT (-46.6479740180394 -23.5505779493803)",D011500057,02497,03874,,,2015/01/12 00:00:00,0900,2,D,,04,107,,,11000000000000000,0100,OE1,26,0109,02497,03874,AU,MO,,CO,03874&&02497,
"POINT (-46.6517127024186 -23.5490202079842)",D011500058,05245,,1125,,2015/01/06 00:00:00,1015,2,D,,04,171,,,10000000000100000,0100,OE1,26,0109,05245,,AU,CM,,CT,1125 05245,
"POINT (-46.6609130327918 -23.5572935021018)",D011500059,08562,15656,,,2015/01/07 00:00:00,1340,2,D,,04,189,,,11000000000000000,0100,OE1,26,0109,08562,15656,AU,MO,,CO,15656&&08562,
"POINT (-46.6639356996471 -23.5565778655217)",D011500062,05245,17791,,,2015/01/09 00:00:00,1129,2,D,,04,242,,,11000000000100000,0100,OE1,44,0109,05245,17791,AU,CM,MO,CO,17791&&05245,
"POINT (-46.6458234511372 -23.5507814209491)",D011500063,13614,,1,,2015/01/20 00:00:00,1606,2,D,,04,262,,,01000000000100000,0100,CN3,67,0109,13614,,CM,MO,,CT,1 13614,
"POINT (-46.6489812925641 -23.5480519828186)",D011500064,05245,03874,,,2015/01/15 00:00:00,0900,2,D,,04,270,,,00100000000000000,0100,OE1,26,0109,03874,05245,ON,,,QD,03874&&05245,
"POINT (-46.6940849901029 -23.6481655709179)",D011500065,14806,,943,,2015/01/11 00:00:00,0140,2,D,,04,290,B,,11000000000000000,0200,SO2,72,0109,14806,,AU,MO,,SI,943 14806,
"POINT (-46.6556793634359 -23.5593179160701)",D011500066,16028,,625,,2015/01/23 00:00:00,0700,4,D,,04,306,,,10000000000000000,0100,OE1,07,0109,16028,,AU,,,AT,625 16028,
"POINT (-46.6940849901029 -23.6481655709179)",D011500067,14806,,2040,,2015/01/14 00:00:00,2310,2,D,,78,380,,,00000000000100000,0100,SO2,72,0109,14806,,CM,,,CH,2040 14806,
"POINT (-46.6940849901029 -23.6481655709179)",D011500068,14806,,1000,,2015/01/29 00:00:00,1151,4,D,,04,380,,,01000000000000000,0200,SO2,72,0109,14806,,MO,,,AT,1000 14806,
"POINT (-46.6940849901029 -23.6481655709179)",D011500069,14806,,2600,,2015/01/16 00:00:00,2215,2,D,,04,481,,,01000000000000000,0100,SO2,72,0109,14806,,MO,,,QM,2600 14806,
"POINT (-46.6952112215913 -23.6474837737827)",D011500070,14806,,644,,2015/01/23 00:00:00,1854,2,D,,04,695,,,11000000000000000,0100,SO2,72,0109,14806,,AU,MO,,SI,644 14806,
"POINT (-46.6940849901029 -23.6481655709179)",D011500071,14806,,2000,,2015/01/25 00:00:00,1000,2,D,,04,735,,,00000001000000000,0100,SO2,72,0109,14806,,OU,,,QD,2000 14806,
"POINT (-46.6426884417487 -23.5763870141102)",D011500072,19764,,3183,,2015/01/05 00:00:00,1330,2,D,,05,36,,,11000000000000000,0100,SU2,92,0111,19764,,AU,MO,,CL,3183 19764,
"POINT (-46.6433588398778 -23.5511110842311)",D011500073,05887,01521,,,2015/01/06 00:00:00,1313,4,D,,05,46,,,00000000000000010,0100,CN3,67,0111,01521,05887,SI,,,AT,01521&&05887,
"POINT (-46.640174298779 -23.5628387369725)",D011500074,35600,,51,,2015/01/13 00:00:00,1327,2,D,,05,151,,,11000000000000000,0200,SU2,49,0111,16010,,MO,AU,,CO,51 35600,
"POINT (-46.6408275743341 -23.5675434753831)",D011500075,19764,,2220,,2015/01/15 00:00:00,1050,2,D,,05,178,,,01000000000000010,0100,SO1,07,0111,19764,,MO,SI,,CO,2220 19764,
"POINT (-46.6400120907485 -23.55671683718)",D011500076,12165,,683,,2015/01/15 00:00:00,1452,2,D,,05,181,,,00000001000000000,0100,SO1,07,0111,12165,,OU,,,QD,683 12165,
"POINT (-46.6385785301351 -23.5567287014798)",D011500077,17812,,140,,2015/01/19 00:00:00,1505,4,D,,05,225,,,10000000000000000,0100,SO1,07,0111,17812,,AU,,,AT,140 17812,
"POINT (-46.6415217045737 -23.5745680994334)",D011500078,19764,,3000,,2015/01/24 00:00:00,1341,2,D,,05,284,,,21000000000000000,0300,SO1,92,0111,19764,,AU,AU,MO,CH,3000 19764,
"POINT (-46.6409203257599 -23.5656021627443)",D011500079,19764,,2000,,2015/01/14 00:00:00,2000,2,D,,05,355,,,01000000000000000,0100,SO1,49,0112,19764,,MO,,,QM,2000 19764,
"POINT (-46.638994897447 -23.563001711732)",D011500080,19583,35600,,,2015/01/30 00:00:00,1325,4,D,,05,387,,,10000000000000000,0100,SU2,49,0112,16010,19583,AU,,,AT,35600&&19583,
