WKT,Id_acident,Cadloga,Cadlogb,Alt_num,Referencia,Data,Hora,Cod_acid,Fonte,Viatura,Dp,Talao,Sentido,Pista,Veiculos,Vitimas,Dec,Distrito,Folha,Princ_a,Princ_b,Placa1,Tipo_plac1,Placa2,Tipo_plac2,Placa3,Tipo_plac3,Tipo_acide,Flag_dupl,Nv_dupl,Duplacas,Cadlog
"POINT (-46.582497 -23.548181)",D031201562,00906,,1316,,2012/03/04,1430,2,D,,57,1051,,,10000001000000000,0100,BR,08,0524,00906,,ERI5001,OU,DVD5016,AU,,,CO,,,,
"POINT (-46.583788 -23.568653)",D031201563,15034,,2220,,2012/03/04,0228,2,D,,57,1462,B,,10000000000000000,0100,MO,16,0524,15034,,FIT1144,AU,,,,,CH,,,,
"POINT (-46.587855 -23.561791)",D031201564,07033,05574,,,2012/03/15,2319,2,D,,57,1746,,,10010000000000000,0100,MO,54,0524,05574,07033,BGY5802,CA,EBN4678,AU,,,CO,,,,
"POINT (-46.571858 -23.575517)",D031201565,15047,18580,,,2012/03/24,1616,2,D,,57,1959,,,10000000000100000,0400,MO,01,0524,13731,15047,DYI8032,AU,BGY3899,CM,,,CO,,,,
"POINT (-46.58641 -23.569571)",D031201566,04134,18828,,,2012/03/01,1700,4,D,,57,638,,,00000000000100000,0100,MO,54,0524,04134,18828,EBD5204,CM,,,,,AT,,,,
"POINT (-46.585926 -23.568923)",D031201567,08251,,,NC,2012/03/01,0740,4,D,,57,649,,,10000000000000000,0100,MO,33,0524,08251,,EQK8430,AU,,,,,AT,,,,
"POINT (-46.587658 -23.580051)",D031201568,04847,,383,,2012/03/05,1111,2,D,,57,671,B,,01000000000100000,0200,MO,54,0524,04847,,DXV1537,CM,EII9794,MO,,,CT,,,,
"POINT (-46.57997 -23.56051)",D031201569,09726,,310,,2012/03/08,1952,2,D,,57,733,,,10001000000000000,0100,MO,01,0524,09726,,,AU,,BI,,,CO,,,,
"POINT (-46.592307 -23.562031)",D031201570,15034,,1066,,2012/03/09,0915,2,D,,57,740,,,11000000000000000,0100,MO,16,0524,15034,,EFU3604,AU,EJN4184,MO,,,CO,,,,
"POINT (-46.592674 -23.561617)",D031201571,15034,,1000,,2012/03/09,1630,2,D,,57,760,,,11000000000000000,0100,MO,16,0525,15034,,HLH8682,AU,MRR2088,MO,,,CO,,,,
"POINT (-46.589817 -23.580897)",D031201572,04847,,117,,2012/03/19,0856,2,D,,57,835,,,00000000000100000,0100,MO,54,0525,04847,,HCO0937,CM,,,,,CH,,,,
"POINT (-46.578083 -23.554925)",D031201573,00906,,2200,,2012/03/19,1920,2,D,,57,855,C,,11000000000000000,0100,BR,08,0525,00906,,EEK5766,AU,EHA6519,MO,,,CL,,,,
"POINT (-46.589489 -23.565173)",D031201574,15034,,1500,,2012/03/23,1320,2,D,,57,916,,,11000000000000000,0100,MO,16,0525,15034,,EJJ4308,AU,EXC7105,MO,,,CF,,,,
"POINT (-46.581834 -23.555209)",D031201575,16049,,28,,2012/03/24,1010,4,D,,57,931,,,00000001000000000,0100,MO,33,0525,16049,,,OU,,,,,AT,,,,
"POINT (-46.580318 -23.550719)",D031201576,00906,09499,,,2012/03/28,0442,2,D,,57,969,,,01000001000000000,0100,MO,01,0525,00906,09499,DGB9576,OU,CZZ3664,MO,,,CO,,,,
"POINT EMPTY",D031201577,06239,18943,,,2012/03/05,0900,2,D,,58,506,,,10100000000000000,0200,MO,,0526,18943,24792,CIH0256,AU,CZZ5486,ON,,,CT,,,,
"POINT (-46.546069 -23.56586)",D031201578,04078,18999,,,2012/03/08,1543,2,D,,58,538,,,21000000000000000,0200,MO,87,0526,04078,18999,DRY9885,MO,EXT9234,AU,CRL0873,AU,CO,,,,
"POINT (-46.5427 -23.572628)",D031201579,14196,08835,,,2012/03/19,1630,2,D,,58,640,B,,01010000000000000,0100,MO,87,0526,08835,14196,DGS3355,MO,KVW3100,CA,,,CO,,,,
"POINT (-46.540095 -23.569271)",D031201580,11156,,2,,2012/03/27,0645,4,D,,58,718,,,10000000000000000,0100,MO,46,0526,11156,,BKD6451,AU,,,,,AT,,,,
"POINT (-46.540397 -23.567108)",D031201581,16820,,21,,2012/03/28,1357,2,D,,58,741,,,10100000000000000,0100,MO,46,0526,16820,,EBT2575,AU,DTC0611,ON,,,CO,,,,
"POINT EMPTY",D031201582,43408,14010,,,2012/03/10,1742,2,D,,58,1898,,,00000000000100000,0100,MO,,0526,14010,43408,EUD5972,CM,,,,,CH,,,,
"POINT (-46.587612 -23.540559)",D031201583,08764,,826,,2012/03/01,1430,2,D,,81,462,,,00100000000000000,0100,BR,08,0527,08764,,DJE5077,ON,,,,,QD,,,,
"POINT (-46.598435 -23.529372)",D031201584,08478,27156,,,2012/03/03,0415,2,D,,81,478,,,10000000000000000,0300,BR,08,0527,08478,27156,BGQ4511,AU,,,,,CP,,,,
"POINT (-46.600765 -23.533883)",D031201585,04632,03787,,,2012/03/05,1420,2,D,,81,508,,,30000000000000000,0100,BR,08,0527,03787,04632,CLF7515,AU,DYA1685,AU,DDF0837,AU,CO,,,,
"POINT (-46.595299 -23.539837)",D031201586,13588,,277,,2012/03/09,1740,4,D,,81,561,,,00000000000100000,0100,BR,08,0527,13588,,EQY2073,CM,,,,,AT,,,,
"POINT (-46.601539 -23.526059)",D031201587,04632,,1393,,2012/03/12,1400,2,D,,81,579,,,11000000000000000,0100,BR,08,0527,04632,,EJM1470,MO,EZH5696,AU,,,CO,,,,
"POINT (-46.595541 -23.539297)",D031201588,15524,13588,,,2012/03/09,1530,2,D,,81,582,,,11000000000000000,0100,BR,08,0527,13588,15524,ECP7570,MO,GUP4925,AU,,,CO,,,,
"POINT (-46.598511 -23.537927)",D031201589,04736,,1431,,2012/03/16,1740,4,D,,81,633,,,00000001000000000,0100,BR,82,0527,04736,,ELW8491,OU,,,,,AT,,,,
"POINT (-46.597332 -23.541946)",D031201590,03896,,690,,2012/03/17,1120,2,D,,81,637,,,11000000000000000,0100,BR,08,0527,03896,,DJH6827,MO,EBM5707,AU,,,CO,,,,
"POINT (-46.591129 -23.530629)",D031201591,06371,,500,,2012/03/19,1300,2,D,,81,650,,,01000000000100000,0100,TT,82,0527,29772,,DJV4541,MO,MPB7829,CM,,,CO,,,,
"POINT (-46.588482 -23.529901)",D031201593,06371,,900,,2012/03/19,1450,2,D,,81,656,,,01010000000000000,0100,TT,82,0527,29772,,EJO5701,MO,BOS4101,CA,,,CO,,,,
"POINT (-46.593094 -23.530625)",D031201594,06371,,250,,2012/03/20,2230,2,D,,81,688,,,10010000000000000,0100,TT,82,0528,29772,,DRR7588,AU,,CA,,,CT,,,,
"POINT (-46.586242 -23.538793)",D031201595,04486,16931,,,2012/03/23,0927,2,D,,81,702,,,11000000000000000,0200,TT,08,0528,04486,16931,DUX6274,MO,BMS2746,AU,,,CO,,,,
"POINT (-46.597684 -23.537795)",D031201596,04736,,1491,,2012/03/29,2030,4,D,,81,784,,,00100000000000000,0100,BR,82,0528,04736,,DAH7116,ON,,,,,AT,,,,
"POINT (-46.599692 -23.527718)",D031201597,27156,,,NC,2012/03/22,0200,2,D,,81,1451,B,,20000000000000000,0100,BR,10,0528,27156,,HMJ4817,AU,,AU,,,CO,,,,
"POINT (-46.586086 -23.541135)",D031201598,19035,,543,,2012/03/10,1945,2,D,,81,1897,,,11000000000000000,0100,BR,10,0528,19035,,LCK8854,MO,DYI6701,AU,,,CO,,,,
"POINT (-46.582776 -23.539467)",D031201599,08764,16959,,,2012/03/20,2240,2,D,,81,2175,,,11000000000000000,0100,BR,08,0528,08764,16959,EJI8125,MO,DDK5316,AU,,,CO,,,,
"POINT (-46.597404 -23.540214)",D031201600,15524,18337,,,2012/03/29,2310,2,D,,81,2481,,,21000000000000000,0100,BR,08,0528,15524,18337,EJM7328,MO,EMS5066,AU,DGE0277,AU,CO,,,,
"POINT (-46.717222 -23.635909)",D031201601,20363,,169,,2012/03/01,1924,2,D,,11,890,,,10000000000100000,0100,CL,29,0601,20363,,EEW6944,AU,EUB7713,CM,,,CH,,,,
"POINT (-46.717774 -23.634917)",D031201602,20363,,45,,2012/03/02,1050,2,D,,11,897,,,01000000000100000,0100,CL,29,0601,20363,,CUE0188,CM,DRW6667,MO,,,SI,,,,
"POINT (-46.693872 -23.656444)",D031201603,19931,,1127,,2012/03/06,0620,2,D,,11,944,,,11000000000000000,0100,SA,30,0601,19931,,DYW3023,MO,DTF8620,AU,,,SI,,,,
"POINT (-46.746887 -23.533177)",D031201604,06238,,1175,,2012/03/06,1330,2,D,,11,957,,,11000000000000000,0100,PB,90,0601,13014,,DGM3589,MO,EQC2434,AU,,,CT,,,,
"POINT (-46.707061 -23.657633)",D031201605,03613,18539,,,2012/03/06,1510,2,D,,11,959,,,11000000000000000,0100,PB,72,0601,03613,18539,DAK7356,AU,EOS9354,MO,,,CO,,,,
"POINT (-46.703342 -23.648862)",D031201606,00222,,466,,2012/03/07,1048,4,D,,11,989,,,10000000000000000,0100,SA,72,0601,00222,,EQG8013,AU,,,,,AT,,,,
"POINT (-46.701037 -23.65996)",D031201607,19931,,370,,2012/03/07,1048,2,D,,11,971,,,11000000000000000,0100,SA,30,0601,19931,,,MO,DQL4568,AU,,,CO,,,,
"POINT (-46.64139 -23.542677)",D031201608,06238,,17000,,2012/03/07,0913,2,D,,11,972,,,02000000000000000,0200,PB,90,0601,13014,,AZQ3240,MO,DZQ3240,MO,,,SI,,,,
"POINT (-46.698346 -23.658584)",D031201609,19931,14743,,,2012/03/07,1838,4,D,,11,979,,,11000000000000000,0200,PB,16,0601,14743,19931,EGZ4258,MO,EIY7953,AU,,,AT,,,,
"POINT (-46.680272 -23.652883)",D031201610,19931,,2800,,2012/03/10,0850,2,D,,11,991,,,11000000000000000,0100,SA,30,0601,19931,,EXF0078,MO,,AU,,,SI,,,,
"POINT (-46.535224 -23.547368)",D031201611,06238,,19115,,2012/03/12,0800,2,D,,11,1038,,,11000000000000000,0100,PB,90,0602,13014,,MIY3233,AU,DJT2966,MO,,,SI,,,,
"POINT (-46.709415 -23.651335)",D031201612,04053,,125,,2012/03/12,1200,4,D,,11,1044,,,01000000000000000,0100,CS,72,0602,04053,,DUV9596,MO,,,,,AT,,,,
"POINT (-46.708882 -23.664492)",D031201613,32309,,,NC,2012/03/19,1000,2,D,,11,1047,,,20010002000200000,0700,CS,30,0602,32309,,CZZ3177,OU,DJB5347,OU,DFR3590,AU,CO,,,,
"POINT (-46.704728 -23.653042)",D031201614,12635,,131,,2012/03/12,1530,4,D,,11,1053,,,10000000000000000,0100,CS,29,0602,12635,,DRF0765,AU,,,,,AT,,,,
"POINT (-46.691112 -23.631192)",D031201615,00999,,6100,,2012/03/13,1240,2,D,,11,1070,,,01000000000000010,0300,IB,34,0602,00999,,CUC7094,SI,DJK7483,MO,,,SI,,,,
"POINT (-46.689722 -23.629999)",D031201616,00999,,5355,,2012/03/14,1150,4,D,,11,1084,,,01000000000000000,0200,IB,34,0602,00999,,DYY9731,MO,,,,,AT,,,,
"POINT (-46.718936 -23.64504)",D031201617,10270,,1951,,2012/03/15,1641,4,D,,11,1103,,,01000000000000000,0100,CL,72,0603,10270,,EHC8637,MO,,,,,AT,,,,
"POINT (-46.681831 -23.621905)",D031201618,06238,,16000,,2012/03/17,0534,2,D,,11,1122,,,01000000000000000,0200,PB,90,0603,13014,,EOZ3097,MO,,,,,CH,,,,
"POINT (-46.707777 -23.651072)",D031201619,07227,,,NC,2012/03/09,2030,2,D,,11,1136,,,00000000000000010,0100,CS,72,0603,07227,,,SI,,,,,SI,,,,
"POINT (-46.68849 -23.653086)",D031201620,19931,,1800,,2012/03/20,0450,2,D,,11,1161,,,11000000000000000,0300,SA,30,0603,19931,,DWT8466,AU,DHI9020,MO,,,SI,,,,
"POINT (-46.70147 -23.646093)",D031201621,00222,,650,,2012/03/24,1255,4,D,,11,1251,,,10000000000000000,0100,SA,72,0603,00222,,EUI9163,AU,,,,,AT,,,,
"POINT (-46.681831 -23.621905)",D031201622,06238,,16000,,2012/03/26,0930,2,D,,11,1265,,,11000000000000000,0100,PB,90,0603,13014,,ELW3524,AU,DZM7619,MO,,,SI,,,,
"POINT (-46.69763 -23.639385)",D031201623,00999,,6651,,2012/03/27,0833,2,D,,11,1293,,,21000000000000000,0200,IB,34,0603,00999,,EXD9535,MO,DIN7703,AU,CZX3927,AU,CO,,,,
"POINT (-46.679762 -23.652732)",D031201624,19931,09220,,,2012/03/28,0600,2,D,,11,1305,,,11000000000000000,0100,IB,72,0603,09220,19931,EXD3403,MO,DLG2216,AU,,,CO,,,,
"POINT EMPTY",D031201625,10918,17907,,,2012/03/28,1647,2,D,,11,1330,,,11000000000000000,0100,IB,,0603,10918,17907,EMS0076,AU,DNR7288,MO,,,CO,,,,
"POINT (-46.592867 -23.560306)",D031201626,06238,,16500,,2012/03/30,0615,2,D,,11,1350,C,,11000000000000000,0100,PB,90,0604,13014,,DNH7108,MO,EUP0257,AU,,,CT,,,,
"POINT (-46.701471 -23.643923)",D031201627,10270,,,PXAV NACOES UNI,2012/03/30,0936,2,D,,11,1358,,,02000001000000000,0100,CL,72,0604,10270,,EXD0976,MO,BYK5484,MO,EFV5287,OU,CO,,,,
"POINT (-46.695037 -23.635576)",D031201628,01085,00999,,,2012/03/11,1743,2,D,,11,2335,,,02000000000000000,0200,CL,72,0604,00999,01085,DRZ9737,MO,DZS7840,MO,,,CO,,,,
"POINT (-46.670841 -23.585119)",D031201629,00999,,88,,2012/03/01,1945,4,D,,11,2541,,,00000001000000000,0100,IB,34,0604,00999,,DJF7674,OU,,,,,AT,,,,
"POINT (-46.69653 -23.630698)",D031201630,03041,18994,,,2012/03/01,2140,2,D,,11,2542,,,10000000000100000,0100,IB,72,0604,03041,18994,DHG4723,CM,EZA5897,AU,,,CO,,,,
"POINT (-46.716978 -23.636534)",D031201631,20363,09573,,,2012/03/01,2200,2,D,,11,2545,,,20000000000000000,0100,IB,72,0604,09573,20363,EZO9384,AU,ELR6454,AU,,,CO,,,,
"POINT (-46.605894 -23.542819)",D031201632,06238,,15187,,2012/03/02,1707,2,D,,11,2579,,,12000000000000000,0100,PB,90,0604,13014,,DZL2920,MO,DBX1362,MO,MIU6792,AU,CO,,,,
"POINT (-46.707379 -23.65388)",D031201633,11063,,32,,2012/03/03,1852,4,D,,11,2613,,,00000001000000000,0100,CS,72,0604,11063,,DJB853,OU,,,,,AT,,,,
"POINT (-46.746234 -23.520982)",D031201634,06238,,,NC,2012/03/04,0107,2,D,,11,2617,,,10000000000000000,0200,PB,90,0604,13014,,CNM8399,AU,,,,,SI,,,,
"POINT (-46.709998 -23.648028)",D031201635,17122,,243,,2012/03/04,2300,4,D,,11,2637,,,00000001000000000,0100,CL,29,0604,17122,,DTD0308,OU,,,,,AT,,,,
"POINT (-46.719332 -23.639721)",D031201636,09600,,1079,,2012/03/07,2002,2,D,,11,2753,,,20100000000000000,0100,CL,72,0605,09600,,DUG5734,AU,EGA7770,AU,DJE9484,ON,CT,,,,
"POINT (-46.701622 -23.643699)",D031201637,10270,,10,,2012/03/11,0620,2,D,,11,2777,,,11000000000000000,0100,CL,72,0605,10270,,EXG6138,MO,,AU,,,CO,,,,
"POINT (-46.713192 -23.630771)",D031201638,19574,,2200,,2012/03/08,0645,4,D,,11,2862,,,10000000000000000,0100,SA,29,0605,19574,,ELE8935,AU,,,,,AT,,,,
"POINT (-46.710447 -23.647156)",D031201639,17122,,150,,2012/03/12,0940,2,D,,11,2959,,,00000000100000000,0100,CL,29,0605,17122,,,MC,,,,,QD,,,,
"POINT (-46.72251 -23.648106)",D031201640,03216,,947,,2012/03/13,1847,2,D,,11,3020,,,11000000000000000,0100,CL,72,0605,03216,,DZP6394,MO,EMO2738,AU,,,CO,,,,
"POINT (-46.422746 -23.487545)",D031201644,06238,,15500,,2012/03/16,1825,2,D,,11,3170,C,,11000000000000000,0100,PB,90,0606,13014,,BGZ6570,MO,EMQ4673,AU,,,CO,,,,
"POINT (-46.707565 -23.654891)",D031201645,13724,,100,,2012/03/17,2024,2,D,,11,3192,,,01000000000100000,0100,CS,72,0606,13724,,EXC3649,MO,DLL0031,CM,,,CO,,,,
"POINT (-46.701332 -23.643722)",D031201646,10270,00999,,,2012/03/18,0640,2,D,,11,3198,,,11000000000000000,0100,CS,72,0606,00999,10270,EKI2593,MO,BOW4225,AU,,,CO,,,,
"POINT (-46.704842 -23.660462)",D031201647,00998,,4530,,2012/03/31,1340,4,D,,11,3300,,,10000000000000000,0100,CS,72,0606,00998,,,AU,,,,,AT,,,,
"POINT (-46.746234 -23.520982)",D031201648,06238,,,PXPTE JOAO DIAS,2012/03/21,1715,2,D,,11,3385,,,11000000000000000,0100,PB,90,0606,13014,,DVX2666,MO,DRQ2204,AU,,,CO,,,,
"POINT (-46.707145 -23.647055)",D031201649,01243,,138,,2012/03/22,1030,4,D,,11,3386,,,01000000000000000,0100,SA,72,0606,01243,,DZR6593,MO,,,,,AT,,,,
"POINT (-46.71144 -23.633179)",D031201650,24615,,500,,2012/03/22,1730,2,D,,11,3409,,,01000000000100000,0100,CL,29,0606,24615,,EXG5132,MO,CVU9678,CM,,,CO,,,,
"POINT (-46.746234 -23.520982)",D031201651,06238,,,PXPTE JOAO DIAS,2012/03/20,0630,2,D,,11,3484,,,01000000000000010,0100,PB,90,0606,13014,,EXG7675,MO,BNZ2888,SI,,,CO,,,,
"POINT (-46.694094 -23.686727)",D031201652,09220,,4455,,2012/03/12,1600,2,D,,11,3515,,,10000000000100000,0100,SA,16,0606,09220,,EQX4252,AU,CZD5283,CM,,,CO,,,,
"POINT (-46.694424 -23.634358)",D031201653,16750,,679,,2012/03/27,1730,2,D,,11,3591,,,01000000000000000,0100,SA,29,0606,16750,,EIE0247,MO,,,,,CF,,,,
"POINT (-46.72239 -23.648307)",D031201654,03216,,297,,2012/03/31,2142,4,D,,11,3740,,,10000000000000000,0100,CL,72,0607,03216,,,AU,,,,,AT,,,,
"POINT (-46.692373 -23.626645)",D031201655,18119,,116,,2012/03/08,2110,2,D,,11,3886,,,11000000000000000,0100,SA,30,0607,18119,,EXA9178,MO,,AU,,,CO,,,,
"POINT (-46.735764 -23.64325)",D031201656,10270,,8602,,2012/03/22,1315,2,D,,11,3897,,,02000000000000000,0100,CL,72,0607,10270,,BUB0476,MO,,MO,,,CO,,,,
"POINT (-46.714435 -23.757229)",D031201657,15507,,7000,,2012/03/10,1254,2,D,,25,1027,,,11000000000000000,0100,CS,23,0608,15507,,DQP1890,AU,DZQ7972,MO,,,CO,,,,
"POINT (-46.722626 -23.777527)",D031201658,38013,,447,,2012/03/20,0730,2,D,,25,1156,,,01100000000000000,0100,CS,32,0608,38013,,BWC3394,ON,DZC0116,MO,,,CO,,,,
"POINT (-46.734239 -23.802787)",D031201659,33015,,4010,,2012/03/26,0857,2,D,,25,1267,C,,01000000000100000,0100,CS,76,0608,33015,,EBV3402,CM,EXK6525,MO,,,CT,,,,
"POINT (-46.727446 -23.812056)",D031201660,36000,,1707,,2012/03/30,1340,4,D,,25,1365,B,,01000000000000000,0100,CS,56,0608,36000,,EQD5734,MO,,,,,AT,,,,
"POINT (-46.714811 -23.790727)",D031201661,33095,,,PXEST DO ITAIM,2012/03/04,2100,2,D,,25,1878,,,20000000000000000,0200,CS,56,0608,09078,,BPM8873,AU,DCM0276,AU,,,CF,,,,
"POINT (-46.735654 -23.794159)",D031201662,38271,,,NC,2012/03/08,0150,2,D,,25,1976,,,01000000000000000,0100,CS,76,0608,38271,,DZP9075,MO,,,,,QM,,,,
"POINT (-46.736305 -23.806383)",D031201663,33015,,,PXEST DE PARELH,2012/03/29,1820,4,D,,25,2645,,,00000000000100000,0100,CS,76,0608,33015,,CVR9046,CM,,,,,AT,,,,
"POINT (-46.748348 -23.78241)",D031201664,41808,,3739,,2012/03/11,0940,2,D,,25,458,,,10000000000000000,0100,CS,76,0608,41808,,ELS9418,AU,,,,,CP,,,,
"POINT (-46.736305 -23.806383)",D031201665,33015,,,PXEST DE PARELH,2012/03/20,1610,2,D,,25,611,,,10000000000000000,0300,CS,76,0608,33015,,EQA0014,AU,,,,,TB,,,,
"POINT (-46.720437 -23.825989)",D031201666,25746,,119,,2012/03/02,1350,2,D,,25,904,,,20000000000000000,0100,CS,76,0608,25746,,AQG6302,AU,EUG9814,AU,,,CH,,,,
"POINT (-46.656632 -23.66893)",D031201667,02787,,283,,2012/03/05,0725,2,D,,43,771,,,40000000000000000,0100,SA,22,0609,02787,,DPA1747,AU,JNC3507,AU,DLP8277,AU,CO,,,,
"POINT (-46.654402 -23.676457)",D031201668,03014,,139,,2012/03/08,1253,2,D,,43,807,,,00000000000000010,0100,SA,29,0609,03014,,,SI,,,,,CO,P,,,
"POINT (-46.653899 -23.667411)",D031201669,05606,,3270,,2012/03/02,0837,2,D,,43,898,C,,11000000000000000,0100,SA,22,0609,05606,,EJM9986,MO,BTC0032,AU,,,CT,,,,
"POINT (-46.669663 -23.651848)",D031201670,34128,,820,,2012/03/15,1100,2,D,,43,900,,,11000000000000000,0100,SA,42,0609,34128,,EXA8521,MO,ETM6990,AU,,,CO,,,,
"POINT (-46.651636 -23.668396)",D031201671,05606,,3530,,2012/03/03,1115,4,D,,43,920,,,10000000000000000,0100,SA,22,0609,05606,,,AU,,,,,AT,,,,
"POINT (-46.654402 -23.676457)",D031201672,03014,,139,,2012/03/08,1251,4,D,,43,992,,,00000000000000010,0100,SA,29,0609,03014,,,SI,,,,,AT,P,,,
"POINT (-46.666356 -23.65515)",D031201673,34128,,1455,,2012/03/09,1708,4,D,,43,1016,,,01000000000000000,0200,SA,42,0609,34128,,EJO0823,MO,,,,,AT,,,,
"POINT (-46.672262 -23.656882)",D031201674,11116,01851,,,2012/03/20,0704,2,D,,43,1158,,,11000000000000000,0100,SA,22,0609,01851,11116,DUZ0328,MO,EQB9968,AU,,,CO,,,,
"POINT (-46.671526 -23.65685)",D031201675,11116,,283,,2012/03/23,1340,2,D,,43,1232,,,11000000000000000,0100,SA,22,0609,11116,,DZD7649,MO,ECT3190,AU,,,CO,,,,
"POINT (-46.665067 -23.656562)",D031201676,34128,,1581,,2012/03/27,0816,2,D,,43,1289,,,01000001000000000,0100,SA,42,0609,34128,,BPS0495,MO,DPE4794,OU,,,CO,,,,
"POINT (-46.652619 -23.667617)",D031201677,05606,,3403,,2012/03/15,1846,4,D,,43,2541,,,10000000000000000,0100,SA,22,0609,05606,,BYB2594,AU,,,,,AT,,,,
"POINT (-46.670085 -23.650272)",D031201678,34128,,626,,2012/03/17,0200,2,D,,43,2572,,,01000000000100000,0100,SA,42,0610,34128,,EBX9725,CM,EJR6855,MO,,,CO,,,,
"POINT (-46.660814 -23.664208)",D031201679,05606,,2500,,2012/03/24,2256,4,D,,43,2891,,,10000000000000000,0100,SA,22,0610,05606,,AOZ4684,AU,,,,,AT,,,,
"POINT (-46.666973 -23.669617)",D031201680,04734,,777,,2012/03/27,2256,2,D,,43,3026,,,10000000000100000,0100,SA,22,0610,04734,,EUX3166,CM,DRS0074,AU,,,CO,,,,
"POINT (-46.772404 -23.688401)",D031201681,12403,,4758,,2012/03/09,1400,4,D,,47,1012,,,10000000000000000,0100,CS,42,0611,12403,,DGE5520,AU,,,,,AT,,,,
"POINT (-46.785304 -23.697805)",D031201682,63018,,1200,,2012/03/20,0030,2,D,,47,1155,,,00100000000000000,0400,CL,29,0611,63018,,DJE7270,ON,,,,,CH,,,,
"POINT (-46.790143 -23.676341)",D031201683,09529,,7453,,2012/03/23,0722,2,D,,47,1235,,,10000000000000000,0400,CL,29,0611,09529,,ANK4049,AU,,,,,CH,,,,
"POINT (-46.767999 -23.660973)",D031201684,06334,,,PXEST DE ITAPEC,2012/03/26,1300,4,D,,47,1271,,,01000000000000000,0100,CL,19,0611,06334,,DZQ7359,MO,,,,,AT,,,,
"POINT (-46.785324 -23.669628)",D031201685,09529,,6575,,2012/03/28,0859,2,D,,47,1318,,,00100000000000000,0400,CL,29,0611,09529,,ELQ0568,ON,,,,,CH,,,,
"POINT (-46.782543 -23.6645)",D031201686,09529,,5870,,2012/03/07,2000,2,D,,47,1594,,,00100000000000000,0100,CL,29,0611,09529,,,ON,,,,,QD,,,,
"POINT EMPTY",D031201687,99479,,,PXEST DE ITAPEC,2012/03/04,1422,4,D,,47,2358,,,00000001000000000,0100,CL,,0611,99479,,DTB1695,OU,,,,,AT,,,,
"POINT (-46.784669 -23.668381)",D031201688,09529,,6358,,2012/03/04,2239,2,D,,47,2373,C,,01000000000100000,0100,CL,29,0611,09529,,EQI8060,CM,FAF1360,MO,,,SI,,,,
"POINT EMPTY",D031201689,09529,99678,,,2012/03/02,1215,4,D,,47,2481,,,01000000000000000,0100,CL,,0611,09529,99678,,MO,,,,,AT,,,,
"POINT (-46.769409 -23.683358)",D031201690,17772,,2007,,2012/03/11,0026,2,D,,47,2630,,,31000000000000000,0200,CL,29,0612,17772,,EXE7435,MO,CSQ3179,AU,DFQ0663,AU,CO,,,,
"POINT (-46.792339 -23.686115)",D031201691,00083,,135,,2012/03/11,0440,2,D,,47,2639,,,01000000000000000,0200,CL,19,0612,00083,,NFQ9039,MO,,,,,QM,,,,
"POINT (-46.783641 -23.650543)",D031201692,20543,,719,,2012/03/11,2059,2,D,,47,2671,,,10100000000000000,0500,CL,29,0612,20543,,HZD3080,AU,DJB7409,ON,,,CF,,,,
"POINT (-46.785515 -23.646191)",D031201693,29896,,1000,,2012/03/17,1603,2,D,,47,2679,,,00100000000000000,0100,CL,29,0612,29896,,ECM4215,ON,,,,,QD,,,,
"POINT (-46.792348 -23.659349)",D031201694,66844,,170,,2012/03/14,1853,2,D,,47,2789,,,01000000000000010,0100,CL,29,0613,66844,,FAY6898,MO,,SI,,,CO,,,,
"POINT (-46.781434 -23.68255)",D031201695,74160,,510,,2012/03/15,0159,2,D,,47,2794,,,01000000000100000,0100,CL,29,0613,74160,,ENV1457,CM,EXE3244,MO,,,CO,,,,
"POINT (-46.784485 -23.691445)",D031201696,35662,,25,,2012/03/18,1636,4,D,,47,2917,,,10000000000000000,0100,CL,29,0613,35662,,EGF5143,AU,,,,,AT,,,,
"POINT (-46.774604 -23.676187)",D031201697,04975,,59,,2012/03/11,2200,2,D,,47,2987,,,01000000000000000,0100,CL,19,0613,04975,,DWZ5637,MO,,,,,QM,,,,
"POINT (-46.740877 -23.64249)",D031201698,09529,,465,,2012/03/22,0200,2,D,,47,3077,,,01000000000000010,0100,CL,29,0613,09529,,,SI,,MO,,,CO,,,,
"POINT (-46.785507 -23.694015)",D031201700,67044,,20,,2012/03/25,0004,2,D,,47,3200,,,20000000000000000,0300,CL,29,0613,67044,,CSX3264,AU,JLT0370,AU,,,CF,,,,
"POINT (-46.777735 -23.660492)",D031201701,09529,,5240,,2012/03/26,0530,2,D,,47,3258,,,00000001000100000,0100,CL,29,0613,09529,,FOI0081,CM,ECM4902,OU,,,CT,,,,
"POINT (-46.791494 -23.653221)",D031201702,78186,,166,,2012/03/29,2200,4,D,,47,3420,,,00000000000000010,0100,CL,29,0613,78186,,,SI,,,,,AT,,,,
"POINT (-46.648412 -23.690987)",D031201703,04975,,11111,,2012/03/04,1135,2,D,,47,3553,,,11000000000000000,0100,CL,19,0613,04975,,,AU,DZP1588,MO,,,CO,,,,
"POINT (-46.781418 -23.642069)",D031201704,29896,,353,,2012/03/27,1400,2,D,,47,3690,,,01000000000000000,0100,CL,29,0613,29896,,BYV8190,MO,,,,,QM,,,,
"POINT (-46.780797 -23.640261)",D031201705,21694,29896,,,2012/03/02,0809,4,D,,47,896,B,,01000000000000000,0200,CL,17,0613,21694,29896,EDD0235,MO,,,,,AT,,,,
