WKT,Id_acident,Cadloga,Cadlogb,Alt_num,Referencia,Data,Hora,Cod_acid,Fonte,Viatura,Dp,Talao,Sentido,Pista,Veiculos,Vitimas,Dec,Distrito,Folha,Princ_a,Princ_b,Placa1,Tipo_plac1,Placa2,Tipo_plac2,Placa3,Tipo_plac3,Tipo_acide,Flag_dupl,Nv_dupl,Duplacas,Cadlog
"POINT (-46.628406 -23.554519)",D061200020,08024,,240,,2012/06/19,1340,4,D,,01,5606,,,10000000000000000,0100,CT,49,0103,08024,,DKS9315,AU,,,,,AT,,,,
"POINT (-46.6284 -23.541243)",D061200021,13853,06642,,,2012/06/20,1830,4,D,,01,5670,,,01000000000000000,0100,CT,80,0103,06642,13853,DZL3489,MO,,,,,AT,,,,
"POINT (-46.625668 -23.549101)",D061200023,07122,,631,,2012/06/22,1530,4,D,,01,5739,,,11000000000000000,0200,CT,80,0103,07122,,EQS1073,MO,EXZ8018,AU,,,AT,,,,
"POINT (-46.635171 -23.551566)",D061200024,10376,,,NC,2012/06/23,1323,4,D,,01,5756,,,10000000000000000,0100,CT,80,0103,10376,,DZD2814,AU,,,,,AT,,,,
"POINT (-46.630601 -23.548632)",D061200025,19745,,105,,2012/06/23,1550,4,D,,01,5760,,,01000000000000000,0200,CT,80,0103,19745,,DRV6166,MO,,,,,AT,,,,
"POINT (-46.635095 -23.55338)",D061200026,11818,,32,,2012/06/26,1940,2,D,,01,5847,,,01000000000000000,0100,CT,49,0103,11818,,DZO6389,MO,,,,,QM,,,,
"POINT (-46.635915 -23.545818)",D061200027,11824,,425,,2012/06/27,1520,2,D,,01,5880,,,21000000000000000,0100,CT,80,0103,11824,,DUZ0123,MO,DTD1365,AU,EZL4240,AU,CO,,,,
"POINT (-46.633455 -23.545588)",D061200028,03403,,192,,2012/06/30,0950,2,D,,01,5960,,,01001000000000000,0200,CT,80,0103,03403,,BYZ4387,MO,,BI,,,CO,,,,
"POINT (-46.634168 -23.55586)",D061200029,08029,,935,,2012/06/30,1015,2,D,,01,6198,,,11000000000000000,0100,CT,49,0103,08029,,EXF7900,MO,EET9238,AU,,,CO,,,,
"POINT (-46.598601 -23.527311)",D061200030,04561,,,NC,2012/06/05,0710,2,D,,02,1227,,E,00010000000000000,0100,TT,06,0104,29772,,DTD7480,CA,,,,,TB,,,,
"POINT (-46.630338 -23.523307)",D061200031,17799,,620,,2012/06/05,0645,4,D,,02,1229,,,10000000000000000,0100,CT,09,0104,17799,,GAW1983,AU,,,,,AT,,,,
