WKT,ID_ACIDENT,CADLOGA,CADLOGB,ALT_NUM,REFERENCIA,DATA,HORA,COD_ACID,SENTIDO,PISTA,VEICULOS,VITIMAS,DEC,DISTRITO,FOLHA,PRINC_A,PRINC_B,TIPO_ACIDE
"POINT (-46.6162145693557 -23.6258035085402)",D121400279,19723,,300,,2014/12/06,2200,2,,,21000000000000000,0100,SU1,27,0207,19723,,CT
"POINT (-46.6013697557262 -23.6273492119652)",D121400280,02223,,600,,2014/12/10,0740,2,,,11000000000000000,0200,SU1,69,0207,02223,,CF
"POINT (-46.6048579693097 -23.6328967836217)",D121400281,02223,,1387,,2014/12/10,1102,4,,,01000000000000000,0100,SU1,69,0207,02223,,AT
"POINT (-46.6059776658519 -23.6280086480695)",D121400282,14710,16458,,,2014/12/13,1600,2,,,11000000000000000,0100,SU1,69,0208,14710,16458,CF
"POINT (-46.6018486204123 -23.6243421370825)",D121400283,02223,,268,,2014/12/19,2040,2,,,01100000000000000,0100,SU1,69,0208,02223,,CO
"POINT (-46.6078795905417 -23.6385701951199)",D121400284,02223,,2150,,2014/12/23,1915,2,,,11000000000000000,0100,SU1,69,0208,02223,,CL
"POINT (-46.6101428623959 -23.6223967551474)",D121400285,14705,,1035,,2014/12/29,2000,2,,,11000000000000000,0100,SU1,69,0208,14705,,CO
"POINT (-46.6042139972227 -23.6237728967051)",D121400286,19723,,1567,,2014/12/30,1320,2,,,11000000000000000,0100,SU1,69,0208,19723,,CO
"POINT (-46.6801197807029 -23.6518479522674)",D121400287,04874,,100,,2014/12/12,1530,2,,,01000000000100000,0100,SO2,72,0209,04874,,CF
"POINT (-46.6696821229924 -23.6371476858493)",D121400288,10642,00040,,,2014/12/01,0830,4,,,00000000000100000,0100,SU2,15,0209,00040,10642,AT
"POINT (-46.6673391953865 -23.615517040266)",D121400289,16511,19100,,,2014/12/01,0019,2,,,00010001000000000,0200,PB,15,0209,14531,19100,CL
"POINT (-46.682388834926 -23.6192815193462)",D121400290,31498,00999,,,2014/12/01,1430,2,,,11000000000000000,0100,SO2,34,0209,00999,31498,CO
"POINT (-46.662856228979 -23.6039808124941)",D121400291,08944,,2332,,2014/12/01,1900,2,,,11000000000000000,0100,SO1,53,0209,08944,,CT
"POINT (-46.409544783113 -23.533704055683)",D121400292,19931,,,NC,2014/12/02,0738,2,,,12000000000100000,0300,LE3,47,0209,19931,,SI
