WKT,Cadlog,Id_acident,Cadloga,Cadlogb,Alt_num,Referencia,Data,Hora,Cod_acid,Fonte,Viatura,Dp,Talao,Sentido,Pista,Veiculos,Vitimas,Dec,Distrito,Folha,Princ_a,Princ_b,Placa1,Tipo_plac1,Placa2,Tipo_plac2,Placa3,Tipo_plac3,Tipo_acide,Flag_dupl,Nv_dupl,Duplacas,Dia
"POINT (-46.560196 -23.531819)",,D011101165,04736,01657,,,2011/01/06,1440,2,D,,52,033,,,00100000000000000,0100,BR,82,0514,01657,04736,DJC1629,ON,,,,,QD,,,,
"POINT (-46.572262 -23.58067)",,D011101166,27094,,132,,2011/01/10,0653,2,D,,52,044,,,11000000000000000,0100,BR,33,0514,27094,,DOI8957,MO,GXY2401,AU,,,CT,,,,
"POINT (-46.579061 -23.54978)",,D011101167,27094,,2000,,2011/01/18,0659,2,D,,52,114,B,,10010000000000000,0200,BR,33,0514,27094,,EJB5496,AU,BWT5442,CA,,,CO,,,,
"POINT EMPTY",,D011101168,17012,27094,,,2011/01/19,0838,2,D,,52,121,,,11000000000000000,0100,BR,82,0514,17012,27094,EQE9592,MO,DAL2253,AU,,,CO,,,,
"POINT (-46.597951 -23.527866)",,D011101169,06371,,,PXPTE TATUAPE,2011/01/27,1807,2,D,,52,149,R,,11000000000000000,0100,TT,82,0514,29772,,DAF5450,MO,LTM0879,AU,,,CO,,,,
"POINT (-46.558925 -23.531481)",,D011101170,04736,,5655,,2011/01/15,0930,2,D,,52,496,,,11000000000000000,0100,BR,82,0514,04736,,EQP5474,MO,DVD8458,AU,,,CO,,,,
"POINT (-46.597951 -23.527866)",,D011101171,06371,,,PXPTE TATUAPE,2011/01/17,2000,2,D,,52,576,,,11000000000000000,0200,TT,82,0514,29772,,EFK5943,MO,CMC9867,AU,,,CL,,,,
"POINT (-46.591098 -23.530624)",,D011101172,06371,,500,,2011/01/27,1850,2,D,,52,929,,,11000000000000000,0100,TT,82,0514,29772,,EHR1483,MO,ELG5230,AU,,,CO,,,,
"POINT (-46.582846 -23.585029)",,D011101173,24338,,1000,,2011/01/03,0215,2,D,,56,048,,,11000000000000000,0200,VP,26,0515,24338,,DRV7438,MO,EQT8921,AU,,,CP,,,,
"POINT (-46.573337 -23.596476)",,D011101174,07964,,700,,2011/01/05,1530,2,D,,56,100,,,01010000000000000,0100,VP,95,0515,07964,,DRZ0899,MO,CBR8393,CA,,,CT,,,,
"POINT (-46.596867 -23.587299)",,D011101175,22127,,100,,2011/01/05,1544,2,D,,56,106,,,11000000000000000,0200,VP,18,0515,22127,,DRZ1837,MO,DYI9108,AU,,,CO,,,,
"POINT (-46.562282 -23.593878)",,D011101176,26966,65634,,,2011/01/09,0800,2,D,,56,187,,,00100000000000000,0100,BR,95,0515,30014,78628,DJE6808,ON,,,,,QF,,,,
